n_PCs,test_R2,train_R2
10,0.659,0.8948
20,0.6647,0.925
30,0.6874,0.9469
40,0.5482,0.9486
50,0.6,0.9534
60,0.6431,0.9582
70,0.5287,0.9573
80,0.5618,0.9609
90,0.5984,0.9623
10,0.8775,0.8999
20,0.8392,0.9261
30,0.8597,0.9306
40,0.7952,0.9383
50,0.8029,0.9379
60,0.8221,0.9486
70,0.7704,0.9537
80,0.7769,0.9549
90,0.7968,0.9556
100,0.8058,0.954
10,0.9042,0.8648
20,0.8587,0.9028
30,0.8923,0.9239
40,0.8489,0.9508
50,0.819,0.9498
60,0.8223,0.9556
70,0.8208,0.9544
80,0.8285,0.9611
90,0.8199,0.9638
