n_PCs,test_RMSE,train_RMSE
10,1.377,0.9208
20,1.3653,0.7776
30,1.3184,0.6543
40,1.585,0.6436
50,1.4913,0.6127
60,1.4087,0.5807
70,1.6187,0.5865
80,1.5609,0.5614
90,1.4943,0.5514
10,0.9399,0.8578
20,1.0766,0.737
30,1.0057,0.714
40,1.2152,0.6733
50,1.192,0.6754
60,1.1326,0.6148
70,1.2867,0.5834
80,1.2684,0.5759
90,1.2103,0.5715
100,1.1834,0.5811
10,0.6492,1.0713
20,0.7886,0.9083
30,0.6883,0.8036
40,0.8154,0.6466
50,0.8925,0.6529
60,0.8841,0.6137
70,0.8879,0.6222
80,0.8688,0.5745
90,0.8903,0.5547
