cell,logFC,score_R,score_NR
H9_P2_M29_L001,2.4525027099338,2.4525027099338,0
H9_P4_M29_L001,-0.558720577027477,0,0.558720577027477
A10_P1_M91_L001,-2.57439399066733,0,2.57439399066733
A10_P4_M91_L001,-1.18649223409403,0,1.18649223409403
A11_P1_M91_L001,-0.154700371376205,0,0.154700371376205
A11_P3_M91_L001,-4.01990007991297,0,4.01990007991297
A11_P4_M91_L001,-2.04911488927338,0,2.04911488927338
A11_P5_M91_L001,-1.93011005827318,0,1.93011005827318
A12_P1_M91_L001,-1.71614734687921,0,1.71614734687921
A12_P3_M91_L001,-2.656503113841,0,2.656503113841
A12_P5_M91_L001,-3.1786556328043,0,3.1786556328043
A2_P1_M91_L001,-1.89958278431107,0,1.89958278431107
A2_P3_M91_L001,-3.12283627591146,0,3.12283627591146
A2_P4_M91_L001,-3.20153302450032,0,3.20153302450032
A3_P1_M91_L001,-2.82327562852087,0,2.82327562852087
A3_P3_M91_L001,-3.27943323315138,0,3.27943323315138
A3_P4_M91_L001,-1.25361435951902,0,1.25361435951902
A3_P5_M91_L001,0.64690095548238,0.64690095548238,0
A4_P1_M91_L001,-3.14573630065812,0,3.14573630065812
A4_P3_M91_L001,-0.30979222266525,0,0.30979222266525
A4_P5_M91_L001,-3.04376837751456,0,3.04376837751456
A5_P1_M91_L001,-3.13038940285818,0,3.13038940285818
A5_P3_M91_L001,-3.75544891321547,0,3.75544891321547
A5_P4_M91_L001,-1.56816874203944,0,1.56816874203944
A6_P1_M91_L001,-2.03728497858081,0,2.03728497858081
A6_P3_M91_L001,-1.31218588783123,0,1.31218588783123
A6_P4_M91_L001,-2.97652522170917,0,2.97652522170917
A6_P5_M91_L001,-1.18423857750018,0,1.18423857750018
A7_P1_M91_L001,-3.45432004864321,0,3.45432004864321
A7_P3_M91_L001,-4.81886489534409,0,4.81886489534409
A7_P5_M91_L001,-1.91670602849868,0,1.91670602849868
A8_P1_M91_L001,-2.67329774603195,0,2.67329774603195
A8_P3_M91_L001,-3.00001300343455,0,3.00001300343455
A8_P4_M91_L001,-2.13075789758234,0,2.13075789758234
A8_P5_M91_L001,-3.44609922226023,0,3.44609922226023
A9_P1_M91_L001,-2.04788181288376,0,2.04788181288376
A9_P3_M91_L001,-1.1551072343822,0,1.1551072343822
A9_P4_M91_L001,-3.10424069279644,0,3.10424069279644
A9_P5_M91_L001,-1.19297263689341,0,1.19297263689341
B10_P1_M91_L001,-3.29274825787778,0,3.29274825787778
B10_P3_M91_L001,-0.265109258224528,0,0.265109258224528
B10_P4_M91_L001,-3.51659714343142,0,3.51659714343142
B10_P5_M91_L001,-1.92486171324275,0,1.92486171324275
B11_P1_M91_L001,1.15394898744509,1.15394898744509,0
B11_P3_M91_L001,-2.23255342538488,0,2.23255342538488
B11_P4_M91_L001,-4.01253408963588,0,4.01253408963588
B11_P5_M91_L001,-0.417113730302798,0,0.417113730302798
B12_P1_M91_L001,-3.45714633003073,0,3.45714633003073
B12_P3_M91_L001,-2.02534518662572,0,2.02534518662572
B12_P4_M91_L001,-3.38421533124057,0,3.38421533124057
B12_P5_M91_L001,0.349286073392808,0.349286073392808,0
B1_P1_M91_L001,-3.10708647316028,0,3.10708647316028
B1_P3_M91_L001,-2.66673067405346,0,2.66673067405346
B1_P4_M91_L001,-1.65687835881529,0,1.65687835881529
B1_P5_M91_L001,-1.67985383748871,0,1.67985383748871
B2_P1_M91_L001,-2.75858984292078,0,2.75858984292078
B2_P3_M91_L001,-3.68572857100178,0,3.68572857100178
B2_P4_M91_L001,-1.3357937714613,0,1.3357937714613
B2_P5_M91_L001,-0.130324060925143,0,0.130324060925143
B3_P1_M91_L001,-3.42411640106658,0,3.42411640106658
B3_P3_M91_L001,-3.32528478053693,0,3.32528478053693
B3_P4_M91_L001,0.135350320961523,0.135350320961523,0
B3_P5_M91_L001,0.0728518243071983,0.0728518243071983,0
B4_P1_M91_L001,-0.54669172069834,0,0.54669172069834
B4_P3_M91_L001,-3.71652605434492,0,3.71652605434492
B4_P4_M91_L001,-2.14052209667234,0,2.14052209667234
